prefix,count,percentage
2001:1278:3::/64,173,1.73
2001:1278:1::/64,104,1.04
2001:1260:100:15::/64,52,0.52
2001:1218:1000:f0::/64,43,0.43
2001:1218:4000:2f0::/64,38,0.38
2001:1218:2000:2e0::/64,37,0.37
2001:1218:3000:2f0::/64,23,0.22999999999999998
2001:1250::/64,15,0.15
2001:1278:2:15::/64,13,0.13
2001:1278:7:100::/64,13,0.13
2001:1218:4210::/64,12,0.12
2001:1260:2::/64,12,0.12
2001:1218:2000:2f0::/64,11,0.11
2001:1218:4202::/64,10,0.1
2001:1218:4203::/64,10,0.1
2001:1218:4204::/64,10,0.1
2001:1218:4208::/64,10,0.1
2001:1218:8000::/64,10,0.1
2001:1278:0:2::/64,10,0.1
2001:1278:4000:8::/64,10,0.1
2001:1218:420c::/64,9,0.09
2001:1218:420d::/64,9,0.09
2001:1260:61f::/64,9,0.09
2001:1278:4000:9::/64,9,0.09
2001:1218:4205::/64,8,0.08
2001:1218:4209::/64,8,0.08
2001:1260:2:4::/64,8,0.08
2001:1260:3:4::/64,8,0.08
2001:1278:4000:6::/64,8,0.08
2001:1278::/64,8,0.08
