asn,ip,bgp_prefix,country,registry,allocated,as_name
28459,2001:1207:ffff:7b85:1649:20ff:fe1b:ba3d,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:7bc6:2a11:ecff:fe98:dcf5,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:7d01:62d7:55ff:fe85:826c,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:7f0a:2a41:c6ff:fe8b:759e,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:8071:a244:5cff:fe94:6dfe,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:80bc:62de:f3ff:fe35:92eb,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:8105:fa6e:eeff:fe1c:14a1,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:81d6:e20c:e5ff:fe72:557a,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:83a:a244:5cff:fe74:7d25,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:8c13:7ab4:6aff:fe0e:7787,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:8c2d:629b:b4ff:fe72:e988,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:8c61:f6a4:d6ff:fe66:8d8f,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:a828:c2f9:b0ff:fe9a:f2cc,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:a82d:e2da:90ff:fe64:854a,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:a832:5af9:87ff:fe04:e7b1,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:a876:9e1d:36ff:feed:aeaa,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:f5d:bad6:f6ff:fe72:ee0c,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:f61:ae99:29ff:fecd:8252,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
