prefix,count,percentage
2001:1284::/32,6222,62.22
2001:1248::/32,2525,25.25
2001:1278::/32,375,3.75
2001:1218::/32,364,3.64
2001:1260::/32,334,3.34
2001:1250::/32,56,0.5599999999999999
2001:1207::/32,46,0.45999999999999996
2001:1210::/32,21,0.21
2001:1270::/32,17,0.16999999999999998
2001:1203::/32,11,0.11
2001:1280::/32,7,0.06999999999999999
2001:1238::/32,5,0.05
2001:1229::/32,4,0.04
2001:1204::/32,2,0.02
2001:1208::/32,2,0.02
2001:1225::/32,2,0.02
2001:1226::/32,2,0.02
2001:122a::/32,1,0.01
2001:122c::/32,1,0.01
2001:1258::/32,1,0.01
2001:1265::/32,1,0.01
2001:1269::/32,1,0.01
